TicketID,ApartmentNumber,IssueDescription,Priority,DateReported,Status
1100,217,Air conditioning not cooling,Low,2025-11-21,In Progress
1101,333,Garage door malfunction,High,2025-03-22,In Progress
1102,245,No hot water,Medium,2025-12-25,In Progress
1103,330,Mold in bathroom,Low,2025-07-30,Closed
1104,189,Doorbell not working,Low,2025-08-20,In Progress
1105,121,Leaky faucet,Low,2025-02-28,Closed
1106,182,Noise complaint,Medium,2025-07-23,Open
1107,223,Light fixture flickering,Low,2025-08-02,Closed
1108,276,Pest control,Medium,2025-10-13,Closed
1109,146,Mold in bathroom,Low,2025-10-17,Closed
1110,218,Leaky faucet,Medium,2025-10-21,In Progress
1111,202,Faulty door lock,Medium,2025-06-30,In Progress
1112,251,Air conditioning not cooling,Low,2025-11-22,Closed
1113,335,Light fixture flickering,Medium,2025-11-08,Open
1114,322,Heater not working,Low,2025-01-08,In Progress
1115,244,Clogged drain,Low,2025-08-20,Closed
1116,304,Painting required,Medium,2025-01-17,Open
1117,338,No hot water,Low,2025-02-11,Closed
1118,150,Mold in bathroom,High,2025-07-24,In Progress
1119,150,Roof leak,High,2025-01-26,Closed
1120,275,No hot water,Medium,2025-01-19,In Progress
1121,303,Light fixture flickering,High,2025-07-09,Closed
1122,155,Pest control,High,2025-08-21,In Progress
1123,328,Heater not working,Low,2025-06-22,Closed
1124,395,Pest control,Low,2025-10-21,Open
1125,379,No hot water,Medium,2025-12-01,Open
1126,231,Roof leak,Low,2025-10-21,Closed
1127,151,Doorbell not working,Low,2025-08-06,Closed
1128,349,Air conditioning not cooling,Medium,2025-11-01,In Progress
1129,233,Heater not working,Medium,2025-06-24,Open
1130,213,Noise complaint,High,2025-07-15,Open
1131,114,Pest control,High,2025-04-25,In Progress
1132,242,Heater not working,Low,2025-04-08,Open
1133,284,Faulty door lock,Low,2025-11-28,Closed
1134,316,No hot water,Low,2025-02-14,Closed
1135,298,Noise complaint,Medium,2025-01-15,Closed
1136,359,Garage door malfunction,Medium,2025-01-19,In Progress
1137,343,Mold in bathroom,Low,2025-03-07,Open
1138,240,Painting required,Low,2025-03-29,Closed
1139,189,Pest control,High,2025-09-28,In Progress
1140,268,No hot water,Low,2025-01-27,Open
1141,135,Mold in bathroom,Low,2025-06-12,Closed
1142,345,Mold in bathroom,High,2025-05-16,In Progress
1143,337,Roof leak,High,2025-08-13,Open
1144,167,Pest control,Low,2025-04-22,In Progress
1145,110,Garage door malfunction,Low,2025-09-20,Open
1146,341,Light fixture flickering,Medium,2025-07-15,Open
1147,321,Broken window,Medium,2025-12-23,Closed
1148,169,Heater not working,Medium,2025-04-11,Open
1149,386,Broken window,Medium,2025-04-27,Open
1150,363,Broken window,High,2025-10-30,Closed
1151,256,Garage door malfunction,Low,2025-04-06,In Progress
1152,281,Garage door malfunction,Low,2025-08-10,Open
1153,104,Noise complaint,Low,2025-06-02,In Progress
1154,203,Air conditioning not cooling,Medium,2025-07-04,In Progress
1155,258,Garage door malfunction,Low,2025-08-15,In Progress
1156,298,Painting required,High,2025-02-16,In Progress
1157,400,Light fixture flickering,High,2025-11-24,In Progress
1158,117,Clogged drain,Medium,2025-11-20,Closed
1159,148,Noise complaint,Low,2025-11-19,Open
1160,391,Garage door malfunction,Low,2025-11-25,Open
1161,185,Painting required,High,2025-10-12,Open
1162,222,Doorbell not working,High,2025-01-15,In Progress
1163,330,Pest control,Low,2025-02-11,In Progress
1164,113,Leaky faucet,Low,2025-01-16,Closed
1165,148,Roof leak,Low,2025-01-18,In Progress
1166,105,Heater not working,Medium,2025-04-02,In Progress
1167,196,Clogged drain,Low,2025-01-13,Closed
1168,309,Noise complaint,Medium,2025-01-22,In Progress
1169,204,Faulty door lock,High,2025-03-04,Closed
1170,256,Clogged drain,Medium,2025-12-13,In Progress
1171,125,Clogged drain,Medium,2025-12-05,Closed
1172,169,Noise complaint,Low,2025-11-26,Closed
1173,320,Broken window,Low,2025-04-24,Closed
1174,394,Light fixture flickering,Medium,2025-12-16,In Progress
1175,389,Garage door malfunction,Low,2025-07-26,In Progress
1176,387,Heater not working,High,2025-08-30,Open
1177,310,Broken window,High,2025-11-20,Closed
1178,105,Painting required,High,2025-11-09,Open
1179,320,No hot water,Medium,2025-12-02,Closed
1180,207,Garage door malfunction,Low,2025-12-18,Closed
1181,282,Broken window,Low,2025-01-26,Open
1182,220,Pest control,Low,2025-04-13,In Progress
1183,240,Light fixture flickering,High,2025-08-23,Closed
1184,176,No hot water,Low,2025-01-12,Open
1185,151,Clogged drain,Low,2025-09-17,Open
1186,282,No hot water,Low,2025-04-23,Closed
1187,346,Heater not working,Low,2025-04-05,In Progress
1188,135,No hot water,Medium,2025-07-23,In Progress
1189,112,Painting required,Low,2025-07-04,In Progress
1190,113,Pest control,Low,2025-02-11,In Progress
1191,154,Painting required,High,2025-06-27,In Progress
1192,368,Broken window,Low,2025-04-25,Closed
1193,221,Roof leak,High,2025-03-11,Closed
1194,318,Doorbell not working,Low,2025-01-23,In Progress
1195,201,Heater not working,Low,2025-03-11,Open
1196,345,Light fixture flickering,High,2025-04-25,Closed
1197,360,Leaky faucet,Low,2025-09-24,In Progress
1198,114,Faulty door lock,Low,2025-10-01,Open
1199,374,Heater not working,High,2025-02-03,In Progress
1200,198,Heater not working,High,2025-12-08,In Progress
1201,390,Air conditioning not cooling,Low,2025-08-01,Open
1202,359,Broken window,High,2025-09-19,Closed
1203,122,Pest control,Medium,2025-12-28,Open
1204,326,Garage door malfunction,High,2025-03-09,Open
1205,371,Doorbell not working,Medium,2025-09-11,Open
1206,355,Roof leak,Low,2025-10-30,Closed
1207,323,Roof leak,Low,2025-12-17,In Progress
1208,198,Doorbell not working,Low,2025-03-28,Open
1209,231,Leaky faucet,Medium,2025-07-16,In Progress
1210,224,Doorbell not working,Low,2025-07-31,Open
1211,342,Painting required,Medium,2025-04-23,Open
1212,235,Leaky faucet,Low,2025-06-25,Open
1213,279,Leaky faucet,High,2025-01-15,Closed
1214,239,Garage door malfunction,Medium,2025-11-25,Closed
1215,265,Broken window,Medium,2025-10-16,Open
1216,324,Mold in bathroom,Low,2025-02-10,Open
1217,180,Clogged drain,High,2025-04-19,Open
1218,364,Doorbell not working,High,2025-02-04,Closed
1219,155,Broken window,Medium,2025-05-31,Closed
1220,125,Noise complaint,Low,2025-07-18,Closed
1221,284,Light fixture flickering,Low,2025-07-12,In Progress
1222,140,Broken window,Low,2025-01-22,In Progress
1223,125,Clogged drain,Medium,2025-01-19,Open
1224,257,No hot water,Low,2025-06-01,Open
1225,168,No hot water,Medium,2025-07-14,In Progress
1226,161,Light fixture flickering,High,2025-07-09,In Progress
1227,323,Pest control,Low,2025-05-26,Closed
1228,105,Noise complaint,Medium,2025-02-21,Open
1229,285,Doorbell not working,High,2025-06-13,Closed
1230,369,Light fixture flickering,Low,2025-03-30,Closed
1231,300,Doorbell not working,Medium,2025-01-17,Closed
1232,303,Garage door malfunction,Low,2025-10-15,Open
1233,325,Noise complaint,Low,2025-10-07,In Progress
1234,282,Heater not working,Low,2025-06-11,Closed
1235,105,Noise complaint,Low,2025-03-16,In Progress
1236,391,Mold in bathroom,Low,2025-05-27,In Progress
1237,319,Air conditioning not cooling,Medium,2025-09-08,Open
1238,254,Noise complaint,Medium,2025-06-13,Closed
1239,296,Faulty door lock,Medium,2025-07-16,Open
1240,226,Roof leak,Medium,2025-11-23,Open
1241,391,Noise complaint,Medium,2025-03-15,Closed
1242,254,Doorbell not working,Low,2025-10-28,Open
1243,390,Garage door malfunction,Medium,2025-02-28,In Progress
1244,173,Garage door malfunction,Low,2025-09-24,In Progress
1245,149,Painting required,Medium,2025-02-13,Open
1246,126,Garage door malfunction,High,2025-03-27,Open
1247,202,Heater not working,Low,2025-11-11,In Progress
1248,217,Garage door malfunction,Medium,2025-10-22,Open
1249,380,Noise complaint,Low,2025-01-13,Closed
1250,396,Noise complaint,Medium,2025-12-03,In Progress
1251,291,Air conditioning not cooling,High,2025-07-16,Open
1252,163,Broken window,Low,2025-10-09,Closed
1253,178,Heater not working,Low,2025-01-19,In Progress
1254,194,Faulty door lock,Low,2025-06-26,Open
1255,324,Painting required,Low,2025-03-18,Open
1256,315,Doorbell not working,Low,2025-02-28,Open
1257,111,No hot water,High,2025-02-23,Open
1258,250,Faulty door lock,Low,2025-01-13,Closed
1259,119,Heater not working,Medium,2025-03-06,In Progress
1260,259,No hot water,Low,2025-01-13,Open
1261,331,Painting required,Low,2025-10-29,In Progress
1262,359,Leaky faucet,Medium,2025-12-05,Open
1263,181,Painting required,Medium,2025-07-06,Closed
1264,350,Broken window,Low,2025-09-21,In Progress
1265,270,Pest control,Low,2025-02-04,In Progress
1266,196,Mold in bathroom,High,2025-09-15,Closed
1267,287,Clogged drain,Low,2025-03-17,In Progress
1268,237,Noise complaint,Low,2025-05-20,Closed
1269,103,Air conditioning not cooling,Low,2025-03-24,Open
1270,214,Air conditioning not cooling,Low,2025-02-26,Closed
1271,134,Air conditioning not cooling,Low,2025-11-09,Closed
1272,347,Faulty door lock,Low,2025-11-15,In Progress
1273,196,Roof leak,Low,2025-01-28,In Progress
1274,234,Light fixture flickering,Low,2025-12-14,Closed
1275,193,Air conditioning not cooling,Low,2025-04-12,In Progress
1276,136,Clogged drain,Low,2025-05-23,In Progress
1277,385,Roof leak,Low,2025-09-20,Open
1278,251,Light fixture flickering,Medium,2025-10-27,Open
1279,291,Clogged drain,Low,2025-05-04,In Progress
1280,160,No hot water,Low,2025-06-08,In Progress
1281,323,Air conditioning not cooling,High,2025-07-21,Open
1282,332,Mold in bathroom,Low,2025-05-31,Open
1283,213,Mold in bathroom,Medium,2025-04-21,Closed
1284,179,Broken window,High,2025-06-27,Closed
1285,332,Broken window,Low,2025-09-04,Closed
1286,295,Mold in bathroom,Medium,2025-08-18,Closed
1287,382,Mold in bathroom,Low,2025-03-16,Closed
1288,397,Light fixture flickering,Low,2025-03-09,In Progress
1289,395,Faulty door lock,Medium,2025-01-06,Closed
1290,311,Clogged drain,Low,2025-03-04,Closed
1291,210,Noise complaint,Low,2025-03-06,In Progress
1292,242,Light fixture flickering,High,2025-12-09,In Progress
1293,112,No hot water,High,2025-09-20,Closed
1294,343,Leaky faucet,Low,2025-11-01,Closed
1295,139,Broken window,Low,2025-12-04,Closed
1296,221,Heater not working,Low,2025-05-11,In Progress
1297,330,Faulty door lock,Medium,2025-01-02,Closed
1298,388,Clogged drain,High,2025-10-22,In Progress
1299,186,Broken window,Low,2025-10-02,Closed
1300,169,Doorbell not working,Medium,2025-09-06,Closed
1301,285,Garage door malfunction,Low,2025-09-17,In Progress
1302,102,Doorbell not working,Medium,2025-11-16,Open
1303,270,Clogged drain,Low,2025-09-22,Open
1304,281,Painting required,High,2025-04-23,Closed
1305,198,Mold in bathroom,Low,2025-12-07,In Progress
1306,114,Painting required,Medium,2025-01-10,In Progress
1307,353,Broken window,Medium,2025-11-30,In Progress
1308,192,Clogged drain,Low,2025-08-22,Open
1309,237,Mold in bathroom,High,2025-08-17,Closed
1310,288,Roof leak,Low,2025-10-02,Closed
1311,199,Roof leak,Low,2025-04-19,In Progress
1312,167,Pest control,Low,2025-04-12,In Progress
1313,171,Air conditioning not cooling,Low,2025-05-31,Open
1314,243,Pest control,High,2025-01-05,Closed
1315,267,Faulty door lock,Medium,2025-03-21,Open
1316,324,Doorbell not working,High,2025-04-22,Closed
1317,248,Heater not working,Low,2025-07-23,Closed
1318,391,Garage door malfunction,Low,2025-11-20,In Progress
1319,156,Noise complaint,High,2025-04-27,In Progress
1320,162,Mold in bathroom,Low,2025-10-24,Closed
1321,203,Roof leak,High,2025-06-18,In Progress
1322,185,Mold in bathroom,High,2025-10-22,Closed
1323,110,Noise complaint,Medium,2025-02-19,Closed
1324,253,Painting required,Medium,2025-04-19,In Progress
1325,110,Doorbell not working,High,2025-01-28,Open
1326,306,Air conditioning not cooling,Medium,2025-03-29,Open
1327,301,Pest control,High,2025-04-23,Closed
1328,189,Garage door malfunction,High,2025-04-20,In Progress
1329,172,Painting required,Low,2025-04-28,Open
1330,134,No hot water,High,2025-10-07,Closed
1331,223,Pest control,Low,2025-02-20,Open
1332,303,Noise complaint,High,2025-10-02,Open
1333,185,Painting required,Low,2025-01-15,Closed
1334,358,Heater not working,Medium,2025-09-06,In Progress
1335,331,Painting required,Low,2025-07-12,In Progress
1336,354,Roof leak,Low,2025-12-11,Open
1337,204,Broken window,High,2025-09-07,Open
1338,302,Noise complaint,Low,2025-07-04,Closed
1339,164,Leaky faucet,High,2025-07-03,In Progress
1340,112,Mold in bathroom,Low,2025-11-08,In Progress
1341,380,Mold in bathroom,High,2025-06-22,Closed
1342,286,Light fixture flickering,High,2025-01-30,Closed
1343,218,Doorbell not working,Low,2025-12-17,Open
1344,146,Pest control,Low,2025-07-11,In Progress
1345,269,Faulty door lock,Low,2025-01-12,Closed
1346,187,Pest control,Low,2025-02-07,Open
1347,182,Clogged drain,Low,2025-02-11,In Progress
1348,297,Doorbell not working,Low,2025-05-28,Closed
1349,263,Doorbell not working,High,2025-10-05,Closed
1350,181,Broken window,Low,2025-03-26,Open
1351,374,Air conditioning not cooling,High,2025-03-12,Open
1352,189,Faulty door lock,Low,2025-05-12,Open
1353,270,No hot water,High,2025-02-23,Open
1354,152,Mold in bathroom,Low,2025-06-06,Closed
1355,258,Clogged drain,Low,2025-06-11,Open
1356,275,Broken window,Low,2025-08-07,In Progress
1357,368,Mold in bathroom,Medium,2025-04-18,Closed
1358,333,Noise complaint,High,2025-02-26,In Progress
1359,143,Noise complaint,Medium,2025-01-15,Closed
1360,372,Clogged drain,High,2025-07-02,Closed
1361,119,Painting required,Low,2025-10-11,In Progress
1362,116,Doorbell not working,Medium,2025-09-02,In Progress
1363,121,Faulty door lock,Low,2025-09-06,In Progress
1364,282,Roof leak,Low,2025-12-02,Closed
1365,391,Leaky faucet,Low,2025-05-18,Open
1366,387,Doorbell not working,High,2025-08-10,Closed
1367,289,Pest control,Low,2025-08-01,In Progress
1368,222,Heater not working,Low,2025-05-06,Closed
1369,248,Roof leak,Low,2025-08-13,Open
1370,155,Leaky faucet,Medium,2025-05-30,Closed
1371,107,Faulty door lock,Medium,2025-10-28,Closed
1372,295,Light fixture flickering,High,2025-08-30,Open
1373,185,Mold in bathroom,Low,2025-07-29,Closed
1374,366,Pest control,Low,2025-04-25,In Progress
1375,143,Light fixture flickering,Low,2025-06-07,Open
1376,213,Pest control,Low,2025-03-02,Closed
1377,132,Pest control,High,2025-12-29,Closed
1378,275,Air conditioning not cooling,Low,2025-05-25,In Progress
1379,199,Clogged drain,Low,2025-11-26,Closed
1380,108,Heater not working,Medium,2025-08-14,Open
1381,196,Clogged drain,Medium,2025-11-03,In Progress
1382,309,Leaky faucet,Low,2025-07-09,In Progress
1383,120,Leaky faucet,High,2025-01-24,In Progress
1384,108,Roof leak,Medium,2025-09-22,Open
1385,204,No hot water,Low,2025-03-28,Open
1386,305,Leaky faucet,Low,2025-04-16,Closed
1387,172,Garage door malfunction,Low,2025-03-28,Closed
1388,130,No hot water,Medium,2025-05-13,In Progress
1389,380,Painting required,Low,2025-12-29,In Progress
1390,213,Faulty door lock,Low,2025-07-27,Open
1391,385,Light fixture flickering,Low,2025-08-03,In Progress
1392,233,Heater not working,Low,2025-09-15,Open
1393,361,Heater not working,Low,2025-03-28,Closed
1394,313,Painting required,High,2025-03-11,Closed
1395,291,Garage door malfunction,Medium,2025-03-03,Closed
1396,261,Light fixture flickering,Low,2025-02-01,Open
1397,216,Garage door malfunction,High,2025-11-03,Closed
1398,313,Light fixture flickering,High,2025-11-18,In Progress
1399,175,Painting required,Low,2025-07-21,Open
1400,293,Mold in bathroom,High,2025-11-13,Closed
1401,373,Roof leak,Low,2025-08-27,Closed
1402,335,Clogged drain,Medium,2025-06-20,In Progress
1403,257,Clogged drain,Low,2025-01-29,Open
1404,388,No hot water,Low,2025-01-25,Closed
1405,308,Noise complaint,Low,2025-01-07,In Progress
1406,299,Pest control,Medium,2025-09-21,Open
1407,112,No hot water,High,2025-07-21,Closed
1408,354,Broken window,Medium,2025-11-21,In Progress
1409,329,Garage door malfunction,Medium,2025-04-14,Open
1410,128,Faulty door lock,Medium,2025-07-16,Closed
1411,143,Mold in bathroom,Medium,2025-10-12,In Progress
1412,198,Garage door malfunction,Medium,2025-04-06,Open
1413,214,Noise complaint,Low,2025-10-17,In Progress
1414,262,Doorbell not working,Low,2025-06-10,Open
1415,343,Pest control,Low,2025-10-21,Open
1416,101,Light fixture flickering,Medium,2025-05-05,Open
1417,357,Garage door malfunction,High,2025-08-16,In Progress
1418,323,Clogged drain,Low,2025-03-18,Closed
1419,330,Leaky faucet,Low,2025-09-20,In Progress
1420,269,Noise complaint,High,2025-09-10,In Progress
1421,102,Mold in bathroom,High,2025-04-21,Closed
1422,271,Heater not working,Low,2025-10-12,Closed
1423,372,Air conditioning not cooling,Low,2025-12-06,In Progress
1424,321,Roof leak,Low,2025-04-10,In Progress
1425,181,Mold in bathroom,Low,2025-05-12,Closed
1426,168,Painting required,Low,2025-03-18,In Progress
1427,192,Air conditioning not cooling,Medium,2025-04-17,In Progress
1428,279,Noise complaint,Low,2025-10-10,Open
1429,229,Broken window,Low,2025-08-27,In Progress
1430,107,Light fixture flickering,Medium,2025-09-12,Closed
1431,335,Doorbell not working,Medium,2025-08-22,Closed
1432,229,Leaky faucet,Medium,2025-08-18,Open
1433,243,Noise complaint,Low,2025-04-10,Closed
1434,262,Leaky faucet,High,2025-04-01,In Progress
1435,254,Noise complaint,Medium,2025-01-12,In Progress
1436,324,No hot water,Low,2025-11-26,Open
1437,254,Mold in bathroom,Low,2025-07-06,In Progress
1438,327,Painting required,Low,2025-12-06,In Progress
1439,270,Mold in bathroom,Medium,2025-09-23,In Progress
1440,257,Light fixture flickering,Low,2025-02-03,In Progress
1441,236,Roof leak,High,2025-03-22,Open
1442,144,Doorbell not working,Low,2025-02-11,In Progress
1443,105,Faulty door lock,High,2025-03-06,In Progress
1444,215,Mold in bathroom,Low,2025-05-04,Closed
1445,254,Light fixture flickering,Low,2025-12-08,Open
1446,332,Garage door malfunction,Low,2025-07-04,Open
1447,208,Roof leak,High,2025-03-06,Open
1448,338,Doorbell not working,Medium,2025-04-09,In Progress
1449,240,Clogged drain,High,2025-11-16,Open
1450,337,Heater not working,Medium,2025-01-11,In Progress
1451,164,Roof leak,High,2025-10-29,Closed
1452,281,Roof leak,Low,2025-05-25,In Progress
1453,164,Clogged drain,Medium,2025-11-10,Closed
1454,101,Pest control,Low,2025-04-09,In Progress
1455,258,Mold in bathroom,High,2025-11-27,In Progress
1456,386,Painting required,Low,2025-08-12,Closed
1457,302,Mold in bathroom,Low,2025-10-13,Open
1458,326,Noise complaint,Low,2025-03-08,Closed
1459,193,Noise complaint,Medium,2025-11-11,Open
1460,391,Broken window,Low,2025-10-26,In Progress
1461,274,Doorbell not working,Low,2025-03-18,In Progress
1462,155,No hot water,Medium,2025-09-21,Open
1463,200,Leaky faucet,Low,2025-03-15,Closed
1464,181,Mold in bathroom,High,2025-08-22,Closed
1465,186,Leaky faucet,High,2025-06-04,In Progress
1466,140,Faulty door lock,High,2025-11-11,In Progress
1467,309,Heater not working,Medium,2025-12-04,Open
1468,240,Clogged drain,High,2025-06-23,Closed
1469,346,Light fixture flickering,Low,2025-07-25,Closed
1470,137,Doorbell not working,Medium,2025-10-31,Closed
1471,242,Heater not working,Low,2025-10-18,Closed
1472,225,Heater not working,Low,2025-05-31,Open
1473,160,Noise complaint,Medium,2025-03-25,In Progress
1474,363,No hot water,Low,2025-05-05,In Progress
1475,261,No hot water,Medium,2025-09-11,Closed
1476,248,Air conditioning not cooling,High,2025-01-08,Open
1477,270,Garage door malfunction,Medium,2025-01-06,In Progress
1478,227,Air conditioning not cooling,Medium,2025-11-23,Closed
1479,195,Light fixture flickering,Low,2025-08-27,Open
1480,274,Painting required,Low,2025-01-27,Closed
1481,212,Garage door malfunction,Low,2025-12-29,In Progress
1482,334,Faulty door lock,Medium,2025-11-08,Closed
1483,172,No hot water,Low,2025-07-02,Open
1484,354,Garage door malfunction,Low,2025-08-22,Open
1485,315,Faulty door lock,Low,2025-03-25,Open
1486,266,Faulty door lock,High,2025-10-19,Closed
1487,284,Mold in bathroom,Low,2025-02-21,Open
1488,238,Pest control,Medium,2025-05-14,In Progress
1489,351,Mold in bathroom,High,2025-12-18,Open
1490,172,Leaky faucet,Medium,2025-01-23,Open
1491,400,Faulty door lock,Low,2025-12-29,Closed
1492,349,Heater not working,Medium,2025-04-30,In Progress
1493,126,Roof leak,High,2025-09-06,In Progress
1494,348,Air conditioning not cooling,Low,2025-05-29,Closed
1495,216,Doorbell not working,Low,2025-03-27,Closed
1496,116,Roof leak,Low,2025-02-13,In Progress
1497,162,Doorbell not working,Medium,2025-09-17,Open
1498,207,Air conditioning not cooling,Medium,2025-11-15,Open
1499,341,Broken window,Low,2025-10-11,Closed
1500,181,Air conditioning not cooling,Medium,2025-03-06,In Progress
1501,222,Doorbell not working,High,2025-06-19,Closed
1502,368,Air conditioning not cooling,Low,2025-05-31,In Progress
1503,131,Faulty door lock,Medium,2025-04-10,Closed
1504,289,No hot water,Medium,2025-01-28,In Progress
1505,192,Air conditioning not cooling,Medium,2025-07-27,Open
1506,322,Mold in bathroom,Medium,2025-07-03,In Progress
1507,313,Noise complaint,Medium,2025-01-18,In Progress
1508,398,Air conditioning not cooling,Low,2025-05-01,In Progress
1509,289,Noise complaint,High,2025-06-01,In Progress
1510,209,Broken window,Low,2025-02-03,Closed
1511,240,Mold in bathroom,Medium,2025-06-06,In Progress
1512,357,Roof leak,Low,2025-02-07,In Progress
1513,138,Doorbell not working,Low,2025-12-12,Open
1514,206,Light fixture flickering,High,2025-06-26,In Progress
1515,333,Clogged drain,Medium,2025-04-21,Open
1516,192,Heater not working,Low,2025-11-04,Closed
1517,400,Air conditioning not cooling,Low,2025-12-20,In Progress
1518,226,Noise complaint,Low,2025-12-19,In Progress
1519,202,Broken window,Low,2025-03-19,Closed
1520,262,Painting required,Medium,2025-06-12,In Progress
1521,290,Mold in bathroom,Low,2025-04-18,Open
1522,154,Heater not working,High,2025-03-12,Closed
1523,131,Painting required,Medium,2025-05-15,Closed
1524,128,Leaky faucet,Medium,2025-03-22,Open
1525,363,Doorbell not working,High,2025-04-12,In Progress
1526,322,Noise complaint,Medium,2025-03-19,Open
1527,226,Mold in bathroom,High,2025-09-27,Closed
1528,377,Garage door malfunction,Medium,2025-10-30,Closed
1529,367,Painting required,Low,2025-11-08,In Progress
1530,357,Clogged drain,Medium,2025-10-14,Closed
1531,191,Heater not working,Low,2025-12-29,Closed
1532,222,Clogged drain,Low,2025-02-10,Closed
1533,296,Garage door malfunction,Medium,2025-02-26,Closed
1534,184,Broken window,High,2025-11-20,In Progress
1535,141,Doorbell not working,High,2025-07-03,Open
1536,190,Air conditioning not cooling,Low,2025-05-27,Closed
1537,237,Pest control,Medium,2025-11-28,In Progress
1538,143,Roof leak,Low,2025-02-09,Open
1539,381,Clogged drain,Low,2025-09-20,Open
1540,307,Leaky faucet,High,2025-08-28,Open
1541,161,Roof leak,Low,2025-08-02,Closed
1542,378,Pest control,High,2025-01-23,In Progress
1543,144,Faulty door lock,Low,2025-07-21,Open
1544,347,Faulty door lock,High,2025-08-07,Closed
1545,115,Roof leak,High,2025-03-14,Closed
1546,246,Leaky faucet,High,2025-09-01,Closed
1547,294,Painting required,High,2025-03-11,Closed
1548,233,Garage door malfunction,Low,2025-10-20,In Progress
1549,391,Mold in bathroom,Low,2025-05-26,Open
1550,237,Light fixture flickering,Medium,2025-11-15,In Progress
1551,303,Heater not working,Medium,2025-02-15,Closed
1552,250,Air conditioning not cooling,Low,2025-11-04,In Progress
1553,223,Heater not working,Medium,2025-06-14,Closed
1554,208,Air conditioning not cooling,Low,2025-11-11,Closed
1555,192,Painting required,Medium,2025-08-18,Closed
1556,221,Broken window,Medium,2025-02-16,Closed
1557,327,Mold in bathroom,Low,2025-07-27,Open
1558,118,Painting required,Medium,2025-07-23,In Progress
1559,272,Doorbell not working,High,2025-03-03,Open
1560,249,Light fixture flickering,Low,2025-05-01,In Progress
1561,366,Heater not working,Medium,2025-05-21,Closed
1562,295,Light fixture flickering,High,2025-12-04,In Progress
1563,102,Clogged drain,Low,2025-10-21,In Progress
1564,372,Garage door malfunction,Low,2025-12-29,Closed
1565,258,Garage door malfunction,Low,2025-01-13,In Progress
1566,387,Faulty door lock,Low,2025-09-01,In Progress
1567,359,Garage door malfunction,Low,2025-11-15,Open
1568,224,Air conditioning not cooling,Low,2025-09-25,In Progress
1569,369,Heater not working,High,2025-11-02,Open
1570,357,Noise complaint,Medium,2025-11-18,Closed
1571,339,Doorbell not working,Low,2025-03-07,Open
1572,198,Heater not working,Low,2025-09-17,Open
1573,348,Painting required,Low,2025-01-27,Closed
1574,365,Mold in bathroom,Low,2025-01-01,Open
1575,388,Air conditioning not cooling,Low,2025-09-26,Closed
1576,129,No hot water,Low,2025-09-30,In Progress
1577,207,Pest control,Low,2025-04-14,In Progress
1578,351,Leaky faucet,High,2025-05-06,In Progress
1579,112,Heater not working,Medium,2025-09-09,Closed
1580,250,Garage door malfunction,Low,2025-10-09,Open
1581,339,No hot water,Medium,2025-07-31,Open
1582,165,Leaky faucet,High,2025-07-10,Open
1583,329,Clogged drain,Low,2025-10-07,In Progress
1584,267,Air conditioning not cooling,Low,2025-11-08,Closed
1585,297,Pest control,Low,2025-06-12,Closed
1586,159,Broken window,Medium,2025-12-09,In Progress
1587,149,Faulty door lock,High,2025-12-29,In Progress
1588,125,Clogged drain,High,2025-04-12,In Progress
1589,112,No hot water,Medium,2025-09-10,In Progress
1590,224,Garage door malfunction,High,2025-06-29,Open
1591,276,Heater not working,Low,2025-08-14,Closed
1592,103,Roof leak,Medium,2025-12-17,Closed
1593,107,No hot water,Medium,2025-02-16,Open
1594,313,Leaky faucet,Medium,2025-11-25,Closed
1595,218,Heater not working,Low,2025-04-22,Closed
1596,131,Mold in bathroom,Low,2025-01-10,Closed
1597,399,Air conditioning not cooling,Medium,2025-08-22,Open
1598,115,Roof leak,Low,2025-07-15,Closed
1599,144,Leaky faucet,Medium,2025-09-27,Open
1600,353,Painting required,High,2025-08-03,Closed
1601,233,Broken window,Medium,2025-12-08,Closed
1602,191,Faulty door lock,Low,2025-01-02,Closed
1603,322,Mold in bathroom,Low,2025-07-21,In Progress
1604,317,Pest control,High,2025-10-24,Open
1605,334,Heater not working,Medium,2025-04-12,Open
1606,296,Mold in bathroom,Medium,2025-04-27,Open
1607,132,Air conditioning not cooling,Low,2025-12-26,Open
1608,109,Mold in bathroom,Low,2025-04-05,Closed
1609,339,Noise complaint,Low,2025-02-18,In Progress
1610,214,Light fixture flickering,Low,2025-08-29,In Progress
1611,252,Doorbell not working,Medium,2025-12-21,In Progress
1612,374,Mold in bathroom,Low,2025-09-01,In Progress
1613,390,No hot water,Low,2025-02-07,Closed
1614,106,Air conditioning not cooling,Low,2025-11-16,Closed
1615,270,Pest control,Medium,2025-04-27,In Progress
1616,373,Noise complaint,Low,2025-04-06,In Progress
1617,333,No hot water,Low,2025-02-13,In Progress
1618,278,Painting required,Medium,2025-03-02,Open
1619,197,Broken window,High,2025-04-01,Open
1620,169,Garage door malfunction,Low,2025-04-10,Open
1621,217,Mold in bathroom,Medium,2025-06-15,In Progress
1622,303,Noise complaint,High,2025-10-10,Open
1623,201,No hot water,Low,2025-08-16,Open
1624,276,Pest control,High,2025-05-18,Open
1625,125,Light fixture flickering,High,2025-10-15,Open
1626,205,Faulty door lock,Low,2025-10-23,In Progress
1627,222,Garage door malfunction,Medium,2025-10-03,Closed
1628,126,Clogged drain,Low,2025-01-07,Open
